date,close,close_t1,close_t2,close_t3,re
2015/1/5,-0.273092369,-0.299598394,-0.294779116,-0.387148594,0.320935643
2015/1/6,-0.187951807,-0.273092369,-0.299598394,-0.294779116,-0.069507221
2015/1/7,-0.192771084,-0.187951807,-0.273092369,-0.299598394,-0.305081708
2015/1/8,-0.305220884,-0.192771084,-0.187951807,-0.273092369,-0.615068408
2015/1/9,-0.231325301,-0.305220884,-0.192771084,-0.187951807,-0.123813286
2015/1/12,-0.173493976,-0.231325301,-0.305220884,-0.192771084,-0.149830182
2015/1/13,-0.21686747,-0.173493976,-0.231325301,-0.305220884,-0.407503448
2015/1/14,-0.245783133,-0.21686747,-0.173493976,-0.231325301,-0.378446498
2015/1/15,-0.273895582,-0.245783133,-0.21686747,-0.173493976,-0.402415648
2015/1/16,-0.319678715,-0.273895582,-0.245783133,-0.21686747,-0.446850886
2015/1/19,-0.33815261,-0.319678715,-0.273895582,-0.245783133,-0.362656377
2015/1/20,-0.344578313,-0.33815261,-0.319678715,-0.273895582,-0.326165241
2015/1/21,-0.292369478,-0.344578313,-0.33815261,-0.319678715,-0.157491166
2015/1/22,-0.289959839,-0.292369478,-0.344578313,-0.33815261,-0.284204796
2015/1/23,-0.299598394,-0.289959839,-0.292369478,-0.344578313,-0.327773833
2015/1/26,-0.36626506,-0.299598394,-0.289959839,-0.292369478,-0.496538442
2015/1/27,-0.318072289,-0.36626506,-0.299598394,-0.289959839,-0.194167045
2015/1/28,-0.344578313,-0.318072289,-0.36626506,-0.299598394,-0.378668482
2015/1/29,-0.354216867,-0.344578313,-0.318072289,-0.36626506,-0.333394907
2015/1/30,-0.400803213,-0.354216867,-0.344578313,-0.318072289,-0.43437025
2015/2/2,-0.351807229,-0.400803213,-0.354216867,-0.344578313,-0.185503168
2015/2/3,-0.352610442,-0.351807229,-0.400803213,-0.354216867,-0.301743054
2015/2/4,-0.322088353,-0.352610442,-0.351807229,-0.400803213,-0.218024452
2015/2/5,-0.350200803,-0.322088353,-0.352610442,-0.351807229,-0.377527786
2015/2/6,-0.294779116,-0.350200803,-0.322088353,-0.352610442,-0.163437366
2015/2/9,-0.304417671,-0.294779116,-0.350200803,-0.322088353,-0.329042862
2015/2/10,-0.318072289,-0.304417671,-0.294779116,-0.350200803,-0.348129704
2015/2/11,-0.301204819,-0.318072289,-0.304417671,-0.294779116,-0.263238079
2015/2/12,-0.317269076,-0.301204819,-0.318072289,-0.304417671,-0.357103828
2015/2/13,-0.273895582,-0.317269076,-0.301204819,-0.318072289,-0.18755328
2015/2/16,-0.25060241,-0.273895582,-0.317269076,-0.301204819,-0.234601508
2015/2/17,-0.289156627,-0.25060241,-0.273895582,-0.317269076,-0.409175125
2015/2/25,-0.265863454,-0.289156627,-0.25060241,-0.273895582,-0.247389407
2015/2/26,-0.243373494,-0.265863454,-0.289156627,-0.25060241,-0.249353011
2015/2/27,-0.246586345,-0.243373494,-0.265863454,-0.289156627,-0.312464212
2015/3/2,-0.293172691,-0.246586345,-0.243373494,-0.265863454,-0.431882945
2015/3/3,-0.331726908,-0.293172691,-0.246586345,-0.243373494,-0.426452394
2015/3/4,-0.354216867,-0.331726908,-0.293172691,-0.246586345,-0.382542174
2015/3/5,-0.386345382,-0.354216867,-0.331726908,-0.293172691,-0.401779674
2015/3/6,-0.39437751,-0.386345382,-0.354216867,-0.331726908,-0.33015906
2015/3/9,-0.369477912,-0.39437751,-0.386345382,-0.354216867,-0.235798768
2015/3/10,-0.466666667,-0.369477912,-0.39437751,-0.386345382,-0.570863817
2015/3/11,-0.414457831,-0.466666667,-0.369477912,-0.39437751,-0.175617095
2015/3/12,-0.383935743,-0.414457831,-0.466666667,-0.369477912,-0.221669559
2015/3/13,-0.39437751,-0.383935743,-0.414457831,-0.466666667,-0.330249006
2015/3/16,-0.420080321,-0.39437751,-0.383935743,-0.414457831,-0.371586051
2015/3/17,-0.39437751,-0.420080321,-0.39437751,-0.383935743,-0.251380525
2015/3/18,-0.415261044,-0.39437751,-0.420080321,-0.39437751,-0.369643026
2015/3/19,-0.407228916,-0.415261044,-0.39437751,-0.420080321,-0.288624574
2015/3/20,-0.425702811,-0.407228916,-0.415261044,-0.39437751,-0.359611821
2015/3/23,-0.346184739,-0.425702811,-0.407228916,-0.415261044,-0.093435212
2015/3/24,-0.337349398,-0.346184739,-0.425702811,-0.407228916,-0.269716646
2015/3/25,-0.354216867,-0.337349398,-0.346184739,-0.425702811,-0.350406088
2015/3/26,-0.314056225,-0.354216867,-0.337349398,-0.346184739,-0.200879637
2015/3/27,-0.36064257,-0.314056225,-0.354216867,-0.337349398,-0.443603948
2015/3/30,-0.358232932,-0.36064257,-0.314056225,-0.354216867,-0.309968545
2015/3/31,-0.367871486,-0.358232932,-0.36064257,-0.314056225,-0.338049965
2015/4/1,-0.39437751,-0.367871486,-0.358232932,-0.36064257,-0.387566295
2015/4/2,-0.39437751,-0.39437751,-0.367871486,-0.358232932,-0.308359371
2015/4/3,-0.415261044,-0.39437751,-0.39437751,-0.367871486,-0.368657022
2015/4/7,-0.419277108,-0.415261044,-0.39437751,-0.39437751,-0.322209997
2015/4/8,-0.461044177,-0.419277108,-0.415261044,-0.39437751,-0.42484809
2015/4/9,-0.461044177,-0.461044177,-0.419277108,-0.415261044,-0.317504736
2015/4/10,-0.498795181,-0.461044177,-0.461044177,-0.419277108,-0.415849292
2015/4/13,-0.500401606,-0.498795181,-0.461044177,-0.461044177,-0.32052027
2015/4/14,-0.453815261,-0.500401606,-0.498795181,-0.461044177,-0.179088731
2015/4/15,-0.434538153,-0.453815261,-0.500401606,-0.498795181,-0.247788879
2015/4/16,-0.404016064,-0.434538153,-0.453815261,-0.500401606,-0.215151071
2015/4/17,-0.413654618,-0.404016064,-0.434538153,-0.453815261,-0.332982714
2015/4/20,-0.421686747,-0.413654618,-0.404016064,-0.434538153,-0.340764862
2015/4/21,-0.395983936,-0.421686747,-0.413654618,-0.404016064,-0.246226556
2015/4/22,-0.4,-0.395983936,-0.421686747,-0.413654618,-0.322206991
2015/4/23,-0.393574297,-0.4,-0.395983936,-0.421686747,-0.290375068
2015/4/24,-0.389558233,-0.393574297,-0.4,-0.395983936,-0.297652608
2015/4/27,-0.270682731,-0.389558233,-0.393574297,-0.4,0.019582675
2015/4/28,-0.268273092,-0.270682731,-0.389558233,-0.393574297,-0.280583637
2015/4/29,-0.294779116,-0.268273092,-0.270682731,-0.389558233,-0.375816227
2015/4/30,-0.240160643,-0.294779116,-0.268273092,-0.270682731,-0.166065758
2015/5/4,-0.158232932,-0.240160643,-0.294779116,-0.268273092,-0.087077379
2015/5/5,-0.152610442,-0.158232932,-0.240160643,-0.294779116,-0.273505515
2015/5/6,-0.159036145,-0.152610442,-0.158232932,-0.240160643,-0.316375904
2015/5/7,-0.2,-0.159036145,-0.152610442,-0.158232932,-0.429835522
2015/5/8,-0.203212851,-0.2,-0.159036145,-0.152610442,-0.332895346
2015/5/11,-0.206425703,-0.203212851,-0.2,-0.159036145,-0.318748861
2015/5/12,-0.201606426,-0.206425703,-0.203212851,-0.2,-0.28985578
2015/5/13,-0.21124498,-0.201606426,-0.206425703,-0.203212851,-0.324551966
2015/5/14,-0.286746988,-0.21124498,-0.201606426,-0.206425703,-0.515151481
2015/5/15,-0.273895582,-0.286746988,-0.21124498,-0.201606426,-0.283624263
2015/5/18,-0.216064257,-0.273895582,-0.286746988,-0.21124498,-0.147654176
2015/5/19,-0.242570281,-0.216064257,-0.273895582,-0.286746988,-0.364636705
2015/5/20,-0.326104418,-0.242570281,-0.216064257,-0.273895582,-0.53048806
2015/5/21,-0.318875502,-0.326104418,-0.242570281,-0.216064257,-0.306401314
2015/5/22,-0.300401606,-0.318875502,-0.326104418,-0.242570281,-0.266276717
2015/5/25,-0.298795181,-0.300401606,-0.318875502,-0.326104418,-0.293343205
2015/5/26,-0.227309237,-0.298795181,-0.300401606,-0.318875502,-0.09592168
2015/5/27,-0.231325301,-0.227309237,-0.298795181,-0.300401606,-0.305348291
